,Order_ID,Customer_ID,Order_Date,Product,Category,Quantity,Unit_Price,Payment_Method,Order_Status,City,Total_Amount,Year,Month,Day
2,3,6390,2023-08-02,Headphones,Electronics,6,877.67,UPI,Completed,Pune,5266.02,2023,8,2
18,19,5555,2023-08-22,Mobile,Electronics,10,2478.51,PayPal,Completed,Bangalore,24785.1,2023,8,22
23,24,8849,2023-08-17,TV,Electronics,19,967.1,PayPal,Cancelled,Bangalore,18374.9,2023,8,17
29,30,5658,2024-10-10,Laptop,Electronics,10,710.36,PayPal,Returned,Hyderabad,7103.6,2024,10,10
30,31,2899,2024-07-29,Camera,Electronics,22,2015.96,UPI,Cancelled,Pune,44351.12,2024,7,29
40,41,8513,2024-12-15,Camera,Electronics,19,2336.76,Debit Card,Cancelled,Delhi,44398.44,2024,12,15
47,48,9226,2023-03-05,Watch,Electronics,5,1568.27,Credit Card,Cancelled,Pune,7841.35,2023,3,5
54,55,4843,2023-10-28,Tablet,Electronics,8,1193.85,PayPal,Returned,Kolkata,9550.8,2023,10,28
56,57,7873,2024-02-20,Headphones,Electronics,23,1348.05,Debit Card,Completed,Delhi,31005.15,2024,2,20
57,58,6675,2023-12-26,Mobile,Electronics,16,873.86,Debit Card,Completed,Delhi,13981.76,2023,12,26
59,60,5297,2024-01-21,Shoes,Electronics,9,1871.17,Cash,Completed,Delhi,16840.53,2024,1,21
69,70,1878,2023-02-13,Watch,Electronics,5,1209.94,UPI,Completed,Delhi,6049.7,2023,2,13
87,88,1391,2024-01-05,Shoes,Electronics,12,1138.64,Credit Card,Cancelled,Pune,13663.68,2024,1,5
96,97,3454,2023-02-28,Laptop,Electronics,19,859.75,Credit Card,Cancelled,Kolkata,16335.25,2023,2,28
99,100,9154,2024-06-17,Watch,Electronics,6,1390.92,PayPal,Completed,Kolkata,8345.52,2024,6,17
116,117,1863,2024-09-05,Tablet,Electronics,18,325.08,Debit Card,Completed,Hyderabad,5851.44,2024,9,5
117,118,3790,2024-09-21,Watch,Electronics,16,2217.85,Credit Card,Cancelled,Mumbai,35485.6,2024,9,21
118,119,8408,2024-10-30,Laptop,Electronics,12,333.64,UPI,Completed,Chennai,4003.68,2024,10,30
119,120,9755,2023-09-24,Tablet,Electronics,18,1715.86,UPI,Cancelled,Kolkata,30885.48,2023,9,24
123,124,8574,2024-11-02,Watch,Electronics,19,1340.51,PayPal,Completed,Chennai,25469.69,2024,11,2
127,128,4242,2024-05-03,Laptop,Electronics,10,2314.11,UPI,Completed,Pune,23141.1,2024,5,3
129,130,2059,2023-10-13,Laptop,Electronics,18,2036.76,PayPal,Completed,Bangalore,36661.68,2023,10,13
133,134,3693,2024-02-02,Laptop,Electronics,16,2121.19,UPI,Cancelled,Pune,33939.04,2024,2,2
145,146,6530,2024-03-17,Mobile,Electronics,12,1598.45,UPI,Completed,Bangalore,19181.4,2024,3,17
150,151,8994,2024-05-13,Laptop,Electronics,2,2281.21,UPI,Cancelled,Bangalore,4562.42,2024,5,13
