,Order_ID,Customer_ID,Order_Date,Product,Category,Quantity,Unit_Price,Payment_Method,Order_Status,City,Total_Amount,Year,Month,Day
32,33,2267,2024-03-04,Laptop,Clothing,6,1892.98,UPI,Completed,Hyderabad,11357.88,2024,3,4
34,35,4556,2024-03-20,TV,Accessories,13,691.15,Cash,Returned,Bangalore,8984.95,2024,3,20
36,37,9838,2024-03-29,TV,Home Appliances,9,1138.31,UPI,Completed,Chennai,10244.79,2024,3,29
64,65,7439,2024-03-20,Shoes,Accessories,10,2078.13,PayPal,Completed,Hyderabad,20781.3,2024,3,20
82,83,3027,2024-03-29,Mobile,Accessories,18,56.06,Cash,Completed,Hyderabad,1009.08,2024,3,29
95,96,8215,2024-03-25,Laptop,Electronics,16,113.54,Debit Card,Completed,Bangalore,1816.64,2024,3,25
125,126,7892,2024-03-11,TV,Accessories,12,1777.17,Cash,Completed,Pune,21326.04,2024,3,11
135,136,6450,2024-03-02,Camera,Home Appliances,15,1222.36,PayPal,Completed,Kolkata,18335.4,2024,3,2
145,146,6530,2024-03-17,Mobile,Electronics,12,1598.45,UPI,Completed,Bangalore,19181.4,2024,3,17
158,159,4581,2024-03-17,Tablet,Electronics,6,769.94,PayPal,Completed,Kolkata,4619.64,2024,3,17
176,177,4510,2024-03-27,Shoes,Clothing,11,393.25,Credit Card,Completed,Pune,4325.75,2024,3,27
190,191,5282,2024-03-15,TV,Accessories,5,59.11,Debit Card,Completed,Hyderabad,295.55,2024,3,15
207,208,5736,2024-03-15,Shoes,Clothing,12,1175.25,UPI,Completed,Chennai,14103.0,2024,3,15
229,230,2648,2024-03-08,Laptop,Home Appliances,20,1748.35,Credit Card,Completed,Hyderabad,34967.0,2024,3,8
234,235,6592,2024-03-12,Shoes,Electronics,20,1928.7,Debit Card,Completed,Pune,38574.0,2024,3,12
285,286,3975,2024-03-01,Laptop,Clothing,4,715.65,Debit Card,Completed,Pune,2862.6,2024,3,1
303,304,8806,2024-03-26,Watch,Accessories,16,303.87,PayPal,Completed,Chennai,4861.92,2024,3,26
323,324,3368,2024-03-29,Headphones,Home Appliances,11,1985.97,PayPal,Completed,Kolkata,21845.67,2024,3,29
325,326,9173,2024-03-25,Mobile,Clothing,8,1685.77,Debit Card,Completed,Kolkata,13486.16,2024,3,25
359,360,9311,2024-03-14,Tablet,Electronics,9,2449.13,PayPal,Completed,Mumbai,22042.17,2024,3,14
383,384,5249,2024-03-05,Shoes,Home Appliances,5,1063.7,Debit Card,Returned,Chennai,5318.5,2024,3,5
386,387,8253,2024-03-16,Headphones,Electronics,3,289.89,Debit Card,Completed,Delhi,869.67,2024,3,16
401,402,5611,2024-03-17,TV,Clothing,2,2262.94,Credit Card,Completed,Delhi,4525.88,2024,3,17
419,420,8723,2024-03-17,Headphones,Accessories,16,36.0,Cash,Cancelled,Bangalore,576.0,2024,3,17
486,487,3156,2024-03-19,Laptop,Electronics,23,1583.14,UPI,Completed,Chennai,36412.22,2024,3,19
495,496,5330,2024-03-01,Shoes,Clothing,4,1221.85,Credit Card,Cancelled,Hyderabad,4887.4,2024,3,1
548,549,2852,2024-03-18,Laptop,Clothing,10,1341.4,Debit Card,Completed,Hyderabad,13414.0,2024,3,18
623,624,5178,2024-03-17,TV,Clothing,3,446.4,UPI,Completed,Bangalore,1339.2,2024,3,17
624,625,8245,2024-03-26,TV,Electronics,22,1266.79,Cash,Returned,Hyderabad,27869.38,2024,3,26
696,697,5188,2024-03-05,Laptop,Clothing,17,2193.36,PayPal,Completed,Hyderabad,37287.12,2024,3,5
743,744,7882,2024-03-18,Tablet,Electronics,11,132.66,PayPal,Completed,Kolkata,1459.26,2024,3,18
